typ,nazwa drina,scieka zdjecia,skladnik 1,ilosc s1,skladnik 2,ilosc s2,skladnik 3 ,ilosc s3,skladnik 4 ,ilosc s4,skladnik 5,ilosc s5,skladnik 6,ilosc s6,skladnik 7,ilosc s7,skladnik 8,ilosc s8,instrukcje,
drink,Capitan Jack,capitan_jack,Malibu,50 ml,Zaparzona kawa,50 ml ,Mleczko skondensowane nieslodzone,100 ml,Lod,,,,,,,,,,Wszystkie sk³adniki wstrz¹sem w shakerze z lodem. Przecedzam do szklanki... nle dodajê ju¿ lodu.,5
drink,Czas Apokalipsy,czas_apokalipsy,Malibu,100 ml,Mleczko skondensowane nieslodzone,50 ml ,Syrop malinowy,20 ml,Lod,,,,,,,,,,Wszystkie sk³adniki wstrz¹sem w shakerze z lodem. Przecedzam do kieliszków o pojemnoœci 30-40 ml (cztery sztuki).,
drink,Tears In Heaven,tears_in_heaven,Blue curacao,80 ml,Limonka,polowa,Bazylia,5 listkow,Tonik,do dopelnienia,Lod,,,,,,,,W szklance ugniatam 1/4 limonki z bazyliai likierem blue curacao. Dodajê lod... mieszam ³yzka... uzupe³niam tonikiem... a nastêpnie dekoruje pozosta³¹ po³ówk¹ limonki.,
drink,Heartbreaker,heartbreaker,Srebna tequila,70 ml,Sok pomaranczowy,150 ml,Sok z czarnej porzeczki,100 ml ,Lod,,,,,,,,,,Wszystkie sk³adniki wstrz¹sem w shakerze z lodem. Przecedzam do du¿ej szklanki na lod... dekorujê pomarañcz¹.,
drink,Summer Jam,summer_jam,Malibu,70 ml,Truskawki,2 sztuki,Sok z cytryny,15 ml,Sok pomaraczowy,do dopelnienia,Lod,,,,,,,,Truskawki krojê na ma³e cz¹stki... wrzucam do szklanki... zalewam Malibu. Ugniatam... zeby puœci³y sok. Dodajê sok z cytryny... kostki lodu i uzupe³niam sokiem pomarañczowym. Dekorujê pomarañcz¹ i truskawka.,
drink,Sin City,sin_city,Malibu,50 ml,Blue Curacao,50 ml ,Mleczko skondensowane nieslodzone,50 ml,Lod,,,,,,,,,,Wszystkie sk³adniki wstrz¹sam w shakerze z lodem. Przecedzam do kieliszka koktajlowego.,
drink,Runaway Train,runaway_train,Wermut Classic,70 ml,Sok pomaranczowy,70 ml,Syrop cukrowy,20 ml,Sok z cytryny,20 ml,Blue Curacao,50 ml ,Lod,,,,,,Trzy pierwsze sk³adniki mieszam w shakerze bez lodu. Przecedzam do szklanki na lod. Nastêpnie w shakerze mieszam bez lodu likier blue curacao i sok z cytryny. Delikatnie wlewam na kostki lodu do szklanki... po odwróconej ³y¿ce... zeby utworzy³y siê warstwy. Dekorujê pomarañcz¹.,
drink,Eternal Flame,eternal_flame,Srebna tequila,50 ml,Sok pomaranczowy,100 ml,Sok z mango,50 ml,Syrop malinowy,15 ml,Sok z cytryny,15 ml ,Lod,,,,,,Wszystkie sk³adniki poza syropem malinowym wstrz¹sam w shakerze z lodem. Przecedzam do szklanki na lod... dodajê syrop... który powinien opasc na dno. Dekorujê plasterkiem pomarañczy.,
drink,La Isla Bonita,la_isla_bonita,Gin,100 ml,Sok z czarnej porzeczki,50 ml ,Sok z cytryny,20 ml ,Woda gazowana,do dopelnienia,Plasterki cytryny,do dekoracji,Lod,,,,,,Wszystkie sk³adniki wstrz¹sem w shakerze z lodem. Przecedzam do szklanki... dope³niam wod¹ gazowana... dekorujê cytryn¹.,
drink,Be My Lover,be_my_lover,Gin,50 ml,Kiwi,1 sztuka,Imbir,kawalek,Sok z cytryny,10 ml,Sprite,do dopelnienia,Lod,,,,,,Imbir wyciskam przez praskê do czosnku prosto do shakera. Dodajê obrane i pokrojone w kawa³ki kiwi i sok z cytryny. Wszystko razem rozgniatam muddlerem. Dodajê gin... lód i wstrz¹sam wszystkie sk³adniki. Przelewam do szklanki ca³¹ zawartosc shakera... uzupe³niam Spritem... dekoruje plasterkiem kiwi.,
drink,Margarita Truskawkowa,margarita_truskawkowa,Srebna tequila,80 ml,Likier triple sec,40 ml ,Sok z cytryny,30 ml,Truskawki,2 sztuki,Lod,,,,,,,,Truskawki rozgniatam w shakerze... dodajê pozosta³e sk³adniki i lód. Wstrz¹sam energicznie... przelewem do kieliszka ko ktajlowego... dekorujê truskawka.,
drink,Wakabayashi,wakabayashi,Srebna tequila,50 ml,Mleczko skondensowane nieslodzone,100 ml,Kakao,2 lyzeczki rozpuszczone,Czekolada,zmielona do dekoracji,Lod,,,,,,,,Wszystkie sk³adniki wstrz¹sem w shakerze z lodem. Przecedzam do kieliszka... dekorujê start¹ lub zmielona czekolad¹.,
