typ,nazwa drina,scieka zdjecia,skladnik 1,ilosc s1,skladnik 2,ilosc s2,skladnik 3 ,ilosc s3,skladnik 4 ,ilosc s4,skladnik 5,ilosc s5,skladnik 6,ilosc s6,skladnik 7,ilosc s7,skladnik 8,ilosc s8,instrukcje,
drink,Capitan Jack,capitan_jack,Malibu,50 ml,Zaparzona kawa,50 ml ,Mleczko skondensowane nieslodzone,100 ml,Lod,,,,,,,,,,Wszystkie skladniki wstrzasem w shakerze z lodem. Przecedzam do szklanki... nle dodaje juz lodu.,5
drink,Czas Apokalipsy,czas_apokalipsy,Malibu,100 ml,Mleczko skondensowane nieslodzone,50 ml ,Syrop malinowy,20 ml,Lod,,,,,,,,,,Wszystkie skladniki wstrzasem w shakerze z lodem. Przecedzam do kieliszkow o pojemnosci 30-40 ml (cztery sztuki).,
drink,Tears In Heaven,tears_in_heaven,Blue curacao,80 ml,Limonka,polowa,Bazylia,5 listkow,Tonik,do dopelnienia,Lod,,,,,,,,W szklance ugniatam 1/4 limonki z bazyliai likierem blue curacao. Dodaje lod... mieszam lyzka... uzupelniam tonikiem... a nastepnie dekoruje pozostala polowka limonki.,
drink,Heartbreaker,heartbreaker,Srebna tequila,70 ml,Sok pomaranczowy,150 ml,Sok z czarnej porzeczki,100 ml ,Lod,,,,,,,,,,Wszystkie skladniki wstrzasem w shakerze z lodem. Przecedzam do duzej szklanki na lod... dekoruje pomarancz.,
drink,Summer Jam,summer_jam,Malibu,70 ml,Truskawki,2 sztuki,Sok z cytryny,15 ml,Sok pomaraczowy,do dopelnienia,Lod,,,,,,,,Truskawki kroje na male czastki... wrzucam do szklanki... zalewam Malibu. Ugniatam... zeby puscily sok. Dodaje sok z cytryny... kostki lodu i uzupelniam sokiem pomaranczowym. Dekoruje pomarancza i truskawk.,
drink,Sin City,sin_city,Malibu,50 ml,Blue Curacao,50 ml ,Mleczko skondensowane nieslodzone,50 ml,Lod,,,,,,,,,,Wszystkie skladniki wstrzasam w shakerze z lodem. Przecedzam do kieliszka koktajlowego.,
drink,Runaway Train,runaway_train,Wermut Classic,70 ml,Sok pomaranczowy,70 ml,Syrop cukrowy,20 ml,Sok z cytryny,20 ml,Blue Curacao,50 ml ,Lod,,,,,,Trzy pierwsze skladniki mieszam w shakerze bez lodu. Przecedzam do szklanki na lod. Nastepnie w shakerze mieszam bez lodu likier blue curacao i sok z cytryny. Delikatnie wlewam na kostki lodu do szklanki... po odwroconej lyzce... zeby utworzyly sie warstwy. Dekoruje pomarancz.,
drink,Eternal Flame,eternal_flame,Srebna tequila,50 ml,Sok pomaranczowy,100 ml,Sok z mango,50 ml,Syrop malinowy,15 ml,Sok z cytryny,15 ml ,Lod,,,,,,Wszystkie skladniki poza syropem malinowym wstrzasam w shakerze z lodem. Przecedzam do szklanki na lod... dodaje syrop... ktory powinien opasc na dno. Dekoruje plasterkiem pomaranczy.,
drink,La Isla Bonita,la_isla_bonita,Gin,100 ml,Sok z czarnej porzeczki,50 ml ,Sok z cytryny,20 ml ,Woda gazowana,do dopelnienia,Plasterki cytryny,do dekoracji,Lod,,,,,,Wszystkie skladniki wstrzasem w shakerze z lodem. Przecedzam do szklanki... dopelniam woda gazowana... dekoruje cytryn.,
drink,Be My Lover,be_my_lover,Gin,50 ml,Kiwi,1 sztuka,Imbir,kawalek,Sok z cytryny,10 ml,Sprite,do dopelnienia,Lod,,,,,,Imbir wyciskam przez praske do czosnku prosto do shakera. Dodaje obrane i pokrojone w kawalki kiwi i sok z cytryny. Wszystko razem rozgniatam muddlerem. Dodaje gin... lod i wstrzasam wszystkie skladniki. Przelewam do szklanki cala zawartosc shakera... uzupelniam Spritem... dekoruje plasterkiem kiwi.,
drink,Margarita Truskawkowa,margarita_truskawkowa,Srebna tequila,80 ml,Likier triple sec,40 ml ,Sok z cytryny,30 ml,Truskawki,2 sztuki,Lod,,,,,,,,Truskawki rozgniatam w shakerze... dodaje pozostale skladniki i lod. Wstrzasam energicznie... przelewem do kieliszka ko ktajlowego... dekoruje truskawk.,
