typ,nazwa drina,scieka zdjecia,skladnik 1,ilosc s1,skladnik 2,ilosc s2,skladnik 3 ,ilosc s3,skladnik 4 ,ilosc s4,skladnik 5,ilosc s5,skladnik 6,ilosc s6,skladnik 7,ilosc s7,skladnik 8,ilosc s8,instrukcje
drink,Capitan Jack,capitan_jack,Malibu,50 ml,Zaparzona kawa,50 ml ,Mleczko skondensowane nieslodzone,100 ml,Lod,,,,,,,,,,aaa
drink,Czas Apokalipsy,czas_apokalipsy,Malibu,100 ml,Mleczko skondensowane nieslodzone,50 ml ,Syrop malinowy,20 ml,Lod,,,,,,,,,,aaa
drink,Tears In Heaven,tears_in_heaven,Blue curacao,80 ml,Limonka,polowa,Bazylia,5 listkow,Tonik,do dopelnienia,Lod,,,,,,,,aaa
drink,Heartbreaker,heartbreaker,Srebna tequila,70 ml,Sok pomaranczowy,150 ml,Sok z czarnej porzeczki,100 ml ,Lod,,,,,,,,,,aaa
drink,Summer Jam,summer_jam,Malibu,70 ml,Truskawki,2 sztuki,Sok z cytryny,15 ml,Sok pomaraczowy,do dopelnienia,Lod,,,,,,,,aaa
drink,Sin City,sin_city,Malibu,50 ml,Blue Curacao,50 ml ,Mleczko skondensowane nieslodzone,50 ml,Lod,,,,,,,,,,aaa
drink,Runaway Train,runaway_train,Wermut Classic,70 ml,Sok pomaranczowy,70 ml,Syrop cukrowy,20 ml,Sok z cytryny,20 ml,Blue Curacao,50 ml ,Lod,,,,,,aaa
drink,Eternal Flame,eternal_flame,Srebna tequila,50 ml,Sok pomaranczowy,100 ml,Sok z mango,50 ml,Syrop malinowy,15 ml,Sok z cytryny,15 ml ,Lod,,,,,,aaa
drink,La Isla Bonita,la_isla_bonita,Gin,100 ml,Sok z czarnej porzeczki,50 ml ,Sok z cytryny,20 ml ,Woda gazowana,do dopelnienia,Plasterki cytryny,do dekoracji,Lod,,,,,,aaa
drink,Be My Lover,be_my_lover,Gin,50 ml,Kiwi,1 sztuka,Imbir,kawalek,Sok z cytryny,10 ml,Sprite,do dopelnienia,Lod,,,,,,aaa
drink,Margarita Truskawkowa,margarita_truskawkowa,Srebna tequila,80 ml,Likier triple sec,40 ml ,Sok z cytryny,30 ml,Truskawki,2 sztuki,Lod,,,,,,,,aaa
drink,Wakabayashi,wakabayashi,Srebna tequila,50 ml,Mleczko skondensowane nieslodzone,100 ml,Kakao,2 lyzeczki rozpuszczone,Czekolada,zmielona do dekoracji,Lod,,,,,,,,aaa
drink,Streets Of Philadelpia,streets_of_philadelphia,Srebna tequila,50 ml,Blue Curacao,20 ml,Sok grejfrutowy,100 ml,Tonik, do dopelnienia,Lod,,,,,,,,aaa
drink,Oceanside,oceanside,Srebna tequila,50 ml,Sok z granatu,100 ml,Sok zurawinowy,70 ml,Sok pomaranczowy,70 ml,Syrop malinowy,20 ml,Lod,,,,,,aaa
drink,Cool Night,cool_night,Gin,100 ml,Grenadyna,10 ml,Sok z cytryny,40 ml,Lod,,,,,,,,,,aaa
drink,Zabojczy Numer,zabojczy_numer,Gin,70 ml,Sok pomaranczowy,100 ml,Blue Curacao,kilka kropli ,Lod,,,,,,,,,,aaa
drink, Grom W Raju, grom_w_raju, Bialy rum, 50 ml, Blue Curacao, 20 ml, Sok pomaranczowy, 50 ml, Sok kaktusowy, 150 ml , Lod,,,,,,,,aaa
drink, Eye Of The Tiger, eye_of_the_tiger, Sok pomaranczowy, 100 ml, Grenadyna, 40 ml, Gin, 50 ml, Sok z cytryny, 40 ml, Sok grejfrutowy, 150 ml, Plasterek grejpfruta, do dekoracji, Lod,,,,aaa
drink, Joyride, joyride, Gin, 50 ml, Sok zurawinowy, 50 ml , Sok pomaranczowy, 100 ml, Grenadyna, 10 ml, pomarancza, do dekoracji, karambola, do dekorajci, Lod,,,,aaa
drink, Twin Peaks, twin_peaks, Gin, 50 ml, Sok grejfrutowy, 50 ml, Blue curacao, 15 ml , Lod,,,,,,,,,,aaa
drink, Wind Of Change, wind_of_change,Gin, 50 ml, Grenadyna, 20 ml, Sok pomaranczowy, 150ml, Sok z cytryny, 20 ml , Pomarancza i miechunka, do dekoracji,Lod,,,,,,aaa
drink, Touch Me, touch_me, gin, 50 ml, Blue curacao, 40 ml, Sok z cytryny, 40 ml, Sprite, do dopelnienia, plasterek pomaranczy, do dekoracji, lod,,,,,,aaa
drink, Nosferatu, nosferatu,Sok grejfrutowy, 100 ml, Syrop cukrowy, 30 ml , Gin, 50 ml, Sok z cytryny, 30 ml, Sok z czarnej porzeczki, 50 ml, Lod,,,,,,aaa
drink, Oldfield, oldfield, Gin, 50 ml, Blue curacao, 20 ml, Sok pomaranczowy, 150 ml , Sok z cytryny, cwiartka, czastka cytryny, do dekoracji, Lod,,,,,,aaa
drink, Blue Pina Colada, blue_pina_colada, Bialy rum, 100 ml, Blue curacao, 20 ml, Mleczko skondensowane, 70 ml, Sok ananasowy, 200 ml, Syrop kokosowy, 20 ml , Lod,,,,,,aaa
drink, Easy Lover, easy_lover, Bialy rum, 100 ml, Sok pomaranczowy, 50 ml, Syrop malinowy, kilka kropli, Lod,,,,,,,,,,aaa
